A̱o,Trimestre,Mbps (Media de bajada),Trimestre.1,Incremento acumulativo,Incremento porcentual acumulativo
2014,1,3.62,Ene-Mar 2014,3.62,
2014,4,4.16,Oct-Dic 2014,7.78,114.9171270718232
2014,2,3.76,Abr-Jun 2014,11.54,48.32904884318764
2014,3,3.87,Jul-Sept 2014,15.41,33.535528596187184
2015,1,4.35,Ene-Mar 2015,4.35,-71.7715768981181
2015,2,4.55,Abr-Jun 2015,8.899999999999999,104.59770114942528
2015,3,4.79,Jul-Sept 2015,13.69,53.82022471910114
2015,4,4.99,Oct-Dic 2015,18.68,36.449963476990504
2016,1,5.08,Ene-Mar 2016,5.08,-72.80513918629549
2016,3,5.94,Jul-Sept 2016,11.02,116.9291338582677
2016,4,6.34,Oct-Dic 2016,17.36,57.53176043557169
2016,2,5.42,Abr-Jun 2016,22.78,31.22119815668204
2017,1,6.62,Ene-Mar 2017,6.62,-70.93942054433714
2017,2,7.16,Abr-Jun 2017,13.780000000000001,108.1570996978852
2017,3,8.34,Jul-Sept 2017,22.12,60.52249637155297
2017,4,12.01,Oct-Dic 2017,34.13,54.29475587703436
2018,1,13.22,Ene-Mar 2018,13.22,-61.26574860826253
2018,2,13.85,Abr-Jun 2018,27.07,104.76550680786687
2018,4,15.95,Oct-Dic 2018,43.019999999999996,58.921315108976714
2018,3,15.36,Jul-Sept 2018,58.379999999999995,35.704323570432365
2019,1,17.38,Ene-Mar 2019,17.38,-70.22953066118535
2019,2,20.33,Abr-Jun 2019,37.709999999999994,116.97353279631758
2019,3,24.18,Jul-Sept 2019,61.89,64.12092283214005
2019,4,28.26,Oct-Dic 2019,90.15,45.66165777993215
2020,3,40.67,Jul-Sept 2020,40.67,-54.88630061009429
2020,4,42.36,Oct-Dic 2020,83.03,104.15539709859847
2020,1,37.52,Ene-Mar 2020,120.55000000000001,45.188486089365306
2020,2,38.32,Abr-Jun 2020,158.87,31.787639983409367
2021,1,43.11,Ene-Mar 2021,43.11,-72.86460628186568
2021,2,45.63,Abr-Jun 2021,88.74000000000001,105.84551148225472
2021,3,48.46,Jul-Sept 2021,137.2,54.60897002479149
2021,4,52.34,Oct-Dic 2021,189.54000000000002,38.14868804664726
2022,1,55.11,Ene-Mar 2022,55.11,-70.92434314656536
2022,2,58.44,Abr-Jun 2022,113.55,106.0424605334785
2022,3,62.46,Jul-Sept 2022,176.01,55.006605019815055
